VP,Condition,Trial,CurrentTarget,Time,State,PlayerPositionX,PlayerPositionY,PlayerPositionZ, PlayerRotationX, PlayerRotationY, PlayerRotationZ, VRCameraPositionX, VRCameraPositionY, VRCameraPositionZ, VRCameraRotationX, VRCameraRotationY, VRCameraRotationZ,GazeObject
953,Normal,1,Right,20:35:50.115,Searching,0,0.06,-7.12,0,0,0,0.001568794,0.1219752,-7.138111,357.4315,359.916,359.6561,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.176,Searching,0,0.06,-7.12,0,0,0,0.001629353,0.1221893,-7.138432,357.4373,359.8906,359.6682,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.212,Searching,0,0.06,-7.12,0,0,0,0.001431465,0.12224,-7.138507,357.4427,359.8973,359.6656,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.220,Searching,0,0.06,-7.12,0,0,0,0.00143075,0.1222406,-7.138506,357.4344,359.8986,359.6768,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.248,Searching,0,0.06,-7.12,0,0,0,0.001404047,0.1222723,-7.138621,357.4397,359.9021,359.6602,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.255,Searching,0,0.06,-7.12,0,0,0,0.001391649,0.1222078,-7.138673,357.4332,359.9066,359.67,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.281,Searching,0,0.06,-7.12,0,0,0,0.001450777,0.1222273,-7.138688,357.4374,359.8968,359.6704,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.288,Searching,0,0.06,-7.12,0,0,0,0.001424789,0.1221895,-7.138715,357.4395,359.8947,359.6678,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.314,Searching,0,0.06,-7.12,0,0,0,0.001450062,0.1222047,-7.138727,357.4425,359.9012,359.6706,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.321,Searching,0,0.06,-7.12,0,0,0,0.0014534,0.1221977,-7.138731,357.4393,359.8958,359.676,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.349,Searching,0,0.06,-7.12,0,0,0,0.001484632,0.122243,-7.138734,357.4412,359.887,359.6653,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.357,Searching,0,0.06,-7.12,0,0,0,0.001501083,0.1222228,-7.138751,357.4366,359.8994,359.6738,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.382,Searching,0,0.06,-7.12,0,0,0,0.001378536,0.1221747,-7.138784,357.442,359.8996,359.6698,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.389,Searching,0,0.06,-7.12,0,0,0,0.001385689,0.122194,-7.138736,357.4394,359.886,359.6734,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.414,Searching,0,0.06,-7.12,0,0,0,0.001362324,0.1221533,-7.13876,357.4398,359.8936,359.6756,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.423,Searching,0,0.06,-7.12,0,0,0,0.001366854,0.1221296,-7.138756,357.4416,359.8857,359.6707,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.448,Searching,0,0.06,-7.12,0,0,0,0.001375675,0.1221418,-7.138759,357.4394,359.8947,359.6744,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.455,Searching,0,0.06,-7.12,0,0,0,0.001473188,0.1221594,-7.138737,357.439,359.887,359.6747,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.481,Searching,0,0.06,-7.12,0,0,0,0.001441002,0.1221545,-7.138675,357.4456,359.8903,359.6684,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.497,Searching,0,0.06,-7.12,0,0,0,0.001485825,0.1221491,-7.138674,357.4397,359.8904,359.6657,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.504,Searching,0,0.06,-7.12,0,0,0,0.001487255,0.1221353,-7.138651,357.4356,359.8837,359.6733,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.530,Searching,0,0.06,-7.12,0,0,0,0.001435757,0.1222479,-7.138648,357.4361,359.8902,359.6705,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.537,Searching,0,0.06,-7.12,0,0,0,0.001414776,0.1222507,-7.138637,357.4374,359.8927,359.6614,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.564,Searching,0,0.06,-7.12,0,0,0,0.001314163,0.1222705,-7.138683,357.4395,359.8896,359.6743,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.572,Searching,0,0.06,-7.12,0,0,0,0.001311779,0.1222792,-7.138706,357.4382,359.8922,359.6752,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.597,Searching,0,0.06,-7.12,0,0,0,0.001379967,0.1223144,-7.138767,357.427,359.8853,359.6754,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.614,Searching,0,0.06,-7.12,0,0,0,0.001443624,0.1223362,-7.138799,357.4393,359.8944,359.6714,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.621,Searching,0,0.06,-7.12,0,0,0,0.001443386,0.1223542,-7.138818,357.4483,359.8871,359.6798,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.648,Searching,0,0.06,-7.12,0,0,0,0.001513004,0.1222773,-7.138835,357.4333,359.8927,359.6679,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.655,Searching,0,0.06,-7.12,0,0,0,0.001511335,0.1222875,-7.138838,357.4437,359.8857,359.665,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.682,Searching,0,0.06,-7.12,0,0,0,0.001605988,0.1223062,-7.13883,357.439,359.8957,359.6602,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.688,Searching,0,0.06,-7.12,0,0,0,0.001656294,0.1223227,-7.138806,357.4378,359.8862,359.6605,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.716,Searching,0,0.06,-7.12,0,0,0,0.001663923,0.1222878,-7.138795,357.4383,359.894,359.6675,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.723,Searching,0,0.06,-7.12,0,0,0,0.001686573,0.1222917,-7.138802,357.444,359.893,359.667,TMaze_Center_North_Wall
953,Normal,1,Right,20:35:50.750,Searching,0,0.06,-7.12,0,0,0,0.001597643,0.12223,-7.138817,357.4441,359.8899,359.6654,TMaze_Center_North_Wall
