VP,Condition,Trial,CurrentTarget,Time,State,PlayerPositionX,PlayerPositionY,PlayerPositionZ, PlayerRotationX, PlayerRotationY, PlayerRotationZ, VRCameraPositionX, VRCameraPositionY, VRCameraPositionZ, VRCameraRotationX, VRCameraRotationY, VRCameraRotationZ,GazeObject
954,Normal,1,Right,20:37:17.564,Searching,0.000348568,0.1201573,-8.015286,352.0233,359.9724,0.4375429,0.000348568,0.1201573,-8.015286,352.0233,359.9724,0.4375429,HeadCollider
954,Normal,1,Right,20:37:17.585,Searching,0.0002708435,0.1201854,-8.015227,352.032,359.9693,0.4502519,0.0002708435,0.1201854,-8.015227,352.032,359.9693,0.4502519,HeadCollider
954,Normal,1,Right,20:37:17.647,Searching,0.0003902912,0.120168,-8.015191,352.027,359.9691,0.4405195,0.0003902912,0.120168,-8.015191,352.027,359.9691,0.4405195,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.657,Searching,0.0003619194,0.1201625,-8.015246,352.0235,359.9691,0.4452892,0.0003619194,0.1201625,-8.015246,352.0235,359.9691,0.4452892,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.678,Searching,0.0002274513,0.1201736,-8.015236,352.0273,359.9711,0.4372247,0.0002274513,0.1201736,-8.015236,352.0273,359.9711,0.4372247,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.685,Searching,0.0002236366,0.1201698,-8.015225,352.0206,359.9682,0.4431966,0.0002236366,0.1201698,-8.015225,352.0206,359.9682,0.4431966,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.710,Searching,0.0002677441,0.1202027,-8.015262,352.0202,359.9753,0.4328331,0.0002677441,0.1202027,-8.015262,352.0202,359.9753,0.4328331,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.718,Searching,0.0002646446,0.1202191,-8.015307,352.0163,359.9603,0.4426388,0.0002646446,0.1202191,-8.015307,352.0163,359.9603,0.4426388,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.742,Searching,0.0003044605,0.1201594,-8.015347,352.0198,359.9756,0.4315645,0.0003044605,0.1201594,-8.015347,352.0198,359.9756,0.4315645,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.749,Searching,0.0003197193,0.1201743,-8.015353,352.0237,359.961,0.43635,0.0003197193,0.1201743,-8.015353,352.0237,359.961,0.43635,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.774,Searching,0.0003902912,0.1202065,-8.015375,352.026,359.9784,0.4315606,0.0003902912,0.1202065,-8.015375,352.026,359.9784,0.4315606,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.781,Searching,0.0004458427,0.1202039,-8.015386,352.0233,359.9768,0.4257101,0.0004458427,0.1202039,-8.015386,352.0233,359.9768,0.4257101,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.806,Searching,0.0005197525,0.1201804,-8.015262,352.0209,359.9666,0.431506,0.0005197525,0.1201804,-8.015262,352.0209,359.9666,0.431506,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.812,Searching,0.0005307198,0.120196,-8.015265,352.0317,359.9744,0.433165,0.0005307198,0.120196,-8.015265,352.0317,359.9744,0.433165,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.838,Searching,0.00046134,0.1201834,-8.015293,352.0356,359.9681,0.4348447,0.00046134,0.1201834,-8.015293,352.0356,359.9681,0.4348447,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.844,Searching,0.0004794598,0.1201823,-8.015285,352.0291,359.9602,0.4320699,0.0004794598,0.1201823,-8.015285,352.0291,359.9602,0.4320699,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.871,Searching,0.000449419,0.120176,-8.015234,352.034,359.9677,0.4296851,0.000449419,0.120176,-8.015234,352.034,359.9677,0.4296851,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.877,Searching,0.000474453,0.1202042,-8.015242,352.0473,359.9696,0.4289746,0.000474453,0.1202042,-8.015242,352.0473,359.9696,0.4289746,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.904,Searching,0.000451088,0.1202027,-8.015333,352.0342,359.9668,0.4346446,0.000451088,0.1202027,-8.015333,352.0342,359.9668,0.4346446,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.910,Searching,0.0004882813,0.1201928,-8.015329,352.0338,359.9657,0.421185,0.0004882813,0.1201928,-8.015329,352.0338,359.9657,0.421185,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.936,Searching,0.0003933907,0.1202291,-8.015364,352.0296,359.9687,0.4323255,0.0003933907,0.1202291,-8.015364,352.0296,359.9687,0.4323255,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.942,Searching,0.0003113747,0.1202229,-8.015372,352.0323,359.971,0.430267,0.0003113747,0.1202229,-8.015372,352.0323,359.971,0.430267,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.969,Searching,0.0003442764,0.1202328,-8.015373,352.0338,359.9639,0.4285,0.0003442764,0.1202328,-8.015373,352.0338,359.9639,0.4285,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:17.975,Searching,0.0003297329,0.1202462,-8.015377,352.039,359.9715,0.4245263,0.0003297329,0.1202462,-8.015377,352.039,359.9715,0.4245263,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:18.002,Searching,0.0003290176,0.1202323,-8.015307,352.0374,359.9678,0.4363801,0.0003290176,0.1202323,-8.015307,352.0374,359.9678,0.4363801,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:18.008,Searching,0.0003066063,0.120216,-8.015314,352.0289,359.9618,0.4303429,0.0003066063,0.120216,-8.015314,352.0289,359.9618,0.4303429,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:18.035,Searching,0.0002586842,0.1201792,-8.015342,352.0337,359.9691,0.4383223,0.0002586842,0.1201792,-8.015342,352.0337,359.9691,0.4383223,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:18.041,Searching,0.0002748966,0.1201856,-8.015363,352.0326,359.9702,0.4361912,0.0002748966,0.1201856,-8.015363,352.0326,359.9702,0.4361912,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:18.067,Searching,0.0002849102,0.1201573,-8.015432,352.0208,359.9655,0.4330018,0.0002849102,0.1201573,-8.015432,352.0208,359.9655,0.4330018,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:18.073,Searching,0.0002770424,0.1201598,-8.015452,352.0256,359.9688,0.4271294,0.0002770424,0.1201598,-8.015452,352.0256,359.9688,0.4271294,TMaze_Center_North_Wall
954,Normal,1,Right,20:37:18.100,Searching,0.00041008,0.1200821,-8.01536,352.0317,359.9626,0.4292836,0.00041008,0.1200821,-8.01536,352.0317,359.9626,0.4292836,TMaze_Center_North_Wall
